date,close
06/29/2010,23.89
06/30/2010,23.83
07/01/2010,21.96
07/02/2010,19.2
07/06/2010,16.11
07/07/2010,15.8
07/08/2010,17.46
07/09/2010,17.4
07/12/2010,17.05
07/13/2010,18.14
07/14/2010,19.84
07/15/2010,19.89
07/16/2010,20.64
07/19/2010,21.91
07/20/2010,20.3
07/21/2010,20.22
07/22/2010,21
07/23/2010,21.29
07/26/2010,20.95
07/27/2010,20.55
07/28/2010,20.72
07/29/2010,20.35
07/30/2010,19.94
08/02/2010,20.92
08/03/2010,21.95
08/04/2010,21.26
08/05/2010,20.45
08/06/2010,19.59
08/09/2010,19.6
08/10/2010,19.03
08/11/2010,17.9
08/12/2010,17.6
08/13/2010,18.32
08/16/2010,18.78
08/17/2010,19.15
08/18/2010,18.77
08/19/2010,18.79
08/20/2010,19.1
08/23/2010,20.13
08/24/2010,19.2
08/25/2010,19.9
08/26/2010,19.75
08/27/2010,19.7
08/30/2010,19.87
08/31/2010,19.48
09/01/2010,20.45
09/02/2010,21.06
09/03/2010,21.05
09/07/2010,20.54
09/08/2010,20.9
09/09/2010,20.71
09/10/2010,20.17
09/13/2010,20.72
09/14/2010,21.12
09/15/2010,21.98
09/16/2010,20.94
09/17/2010,20.23
09/20/2010,21.055
09/21/2010,20.77
09/22/2010,19.87
09/23/2010,19.56
09/24/2010,20.1
09/27/2010,20.53
09/28/2010,21.4
09/29/2010,21.98
09/30/2010,20.405
10/01/2010,20.6
10/04/2010,20.99
10/05/2010,21.12
10/06/2010,20.46
10/07/2010,20.43
10/08/2010,20.43
10/11/2010,20.24
10/12/2010,20.24
10/13/2010,20.54
10/14/2010,20.75
10/15/2010,20.54
10/18/2010,20.23
10/19/2010,20.05
10/20/2010,20.65
10/21/2010,20.75
10/22/2010,20.72
10/25/2010,20.85
10/26/2010,21.36
10/27/2010,21
10/28/2010,21.19
10/29/2010,21.84
11/01/2010,21.41
11/02/2010,21.25
11/03/2010,21.77
11/04/2010,24.9
11/05/2010,24.44
11/08/2010,24.98
11/09/2010,24.63
11/10/2010,29.36
11/11/2010,28.035
11/12/2010,29.84
11/15/2010,30.8
11/16/2010,29.67
11/17/2010,29.49
11/18/2010,29.89
11/19/2010,30.99
11/22/2010,33.4
11/23/2010,34.57
11/24/2010,35.47
11/26/2010,35.32
11/29/2010,34.33
11/30/2010,35.33
12/01/2010,34.35
12/02/2010,32.35
12/03/2010,31.49
12/06/2010,30.31
12/07/2010,31.56
12/08/2010,32.37
12/09/2010,32.05
12/10/2010,31.52
12/13/2010,30.55
12/14/2010,28.53
12/15/2010,29.6
12/16/2010,30.81
12/17/2010,31.36
12/20/2010,31.7
12/21/2010,32.26
12/22/2010,32.63
12/23/2010,30.09
12/27/2010,25.549
12/28/2010,26.41
12/29/2010,27.73
12/30/2010,26.5
12/31/2010,26.63
01/03/2011,26.62
01/04/2011,26.67
01/05/2011,26.83
01/06/2011,27.88
01/07/2011,28.24
01/10/2011,28.45
01/11/2011,26.96
01/12/2011,26.96
01/13/2011,26.22
01/14/2011,25.75
01/18/2011,25.64
01/19/2011,24.03
01/20/2011,22.62
01/21/2011,23.04
01/24/2011,24.49
01/25/2011,24.68
01/26/2011,24.75
01/27/2011,24.92
01/28/2011,24.01
01/31/2011,24.1
02/01/2011,23.91
02/02/2011,23.94
02/03/2011,23.63
02/04/2011,23.46
02/07/2011,23.07
02/08/2011,24.49
02/09/2011,23.21
02/10/2011,23.215
02/11/2011,23.25
02/14/2011,23.08
02/15/2011,22.84
02/16/2011,24.73
02/17/2011,23.6
02/18/2011,23.18
02/22/2011,21.87
02/23/2011,21.83
02/24/2011,22.53
02/25/2011,23.61
02/28/2011,23.89
03/01/2011,23.94
03/02/2011,24.02
03/03/2011,24.36
03/04/2011,24.95
03/07/2011,24.94
03/08/2011,24.66
03/09/2011,24.72
03/10/2011,24.01
03/11/2011,24.07
03/14/2011,23.25
03/15/2011,22.95
03/16/2011,22.82
03/17/2011,22.81
03/18/2011,22.96
03/21/2011,22.73
03/22/2011,22.19
03/23/2011,22.21
03/24/2011,22.33
03/25/2011,22.75
03/28/2011,23.25
03/29/2011,23.92
03/30/2011,23.71
03/31/2011,27.75
04/01/2011,26.66
04/04/2011,25.83
04/05/2011,26.7
04/06/2011,26.49
04/07/2011,27.24
04/08/2011,26.49
04/11/2011,25.27
04/12/2011,24.65
04/13/2011,24.93
04/14/2011,25.14
04/15/2011,25.58
04/18/2011,25.03
04/19/2011,25.16
04/20/2011,25.75
04/21/2011,26.74
04/25/2011,26.39
04/26/2011,26.93
04/27/2011,27.08
04/28/2011,27.66
04/29/2011,27.6
05/02/2011,27.45
05/03/2011,26.87
05/04/2011,26.69
05/05/2011,26.44
05/06/2011,27.12
05/09/2011,27.91
05/10/2011,28.33
05/11/2011,27.07
05/12/2011,27.67
05/13/2011,27.55
05/16/2011,26.6
05/17/2011,25.96
05/18/2011,26.35
05/19/2011,28.2
05/20/2011,27.97
05/23/2011,26.82
05/24/2011,26.72
05/25/2011,28.98
05/26/2011,29.48
05/27/2011,29.55
05/31/2011,30.14
06/01/2011,28.517
06/02/2011,28.76
06/03/2011,30.13
06/06/2011,28.7
06/07/2011,28.37
06/08/2011,27.12
06/09/2011,27.62
06/10/2011,27.86
06/13/2011,28.43
06/14/2011,28.6
06/15/2011,27.32
06/16/2011,26.5
06/17/2011,26.5
06/20/2011,26.01
06/21/2011,27.53
06/22/2011,27.21
06/23/2011,27.71
06/24/2011,27.565
06/27/2011,27.46
06/28/2011,28.11
06/29/2011,28.29
06/30/2011,29.13
07/01/2011,29.02
07/05/2011,29.14
07/06/2011,28.96
07/07/2011,29.73
07/08/2011,28.81
07/11/2011,28.35
07/12/2011,28.17
07/13/2011,28.64
07/14/2011,27.61
07/15/2011,27.58
07/18/2011,27.23
07/19/2011,27.89
07/20/2011,28.69
07/21/2011,28.7
07/22/2011,29.29
07/25/2011,28.49
07/26/2011,28
07/27/2011,27.64
07/28/2011,28.17
07/29/2011,28.17
08/01/2011,28.77
08/02/2011,27.34
08/03/2011,27.2
08/04/2011,24.75
08/05/2011,24.24
08/08/2011,23.64
08/09/2011,25.06
08/10/2011,23.82
08/11/2011,25.3
08/12/2011,26.31
08/15/2011,26.23
08/16/2011,26.1
08/17/2011,25.83
08/18/2011,24.26
08/19/2011,22.3
08/22/2011,21.95
08/23/2011,22.96
08/24/2011,23.87
08/25/2011,23.11
08/26/2011,23.73
08/29/2011,24.71
08/30/2011,24.63
08/31/2011,24.74
09/01/2011,24
09/02/2011,23.07
09/06/2011,22.94
09/07/2011,23.84
09/08/2011,23.61
09/09/2011,22.97
09/12/2011,22.88
09/13/2011,24.08
09/14/2011,24.34
09/15/2011,24.82
09/16/2011,25.8
09/19/2011,25.77
09/20/2011,26.01
09/21/2011,25.85
09/22/2011,25.63
09/23/2011,26.38
09/26/2011,25.52
09/27/2011,26.19
09/28/2011,24.59
09/29/2011,24.12
09/30/2011,24.39
10/03/2011,23.73
10/04/2011,23.66
10/05/2011,25.37
10/06/2011,26.96
10/07/2011,26.99
10/10/2011,27.88
10/11/2011,27.61
10/12/2011,27.8
10/13/2011,27.94
10/14/2011,28.05
10/17/2011,27.42
10/18/2011,28.34
10/19/2011,27.57
10/20/2011,27.34
10/21/2011,28.03
10/24/2011,28.55
10/25/2011,28.25
10/26/2011,27.98
10/27/2011,28.76
10/28/2011,29.87
10/31/2011,29.37
11/01/2011,28.88
11/02/2011,28.71
11/03/2011,32.46
11/04/2011,32.31
11/07/2011,31.27
11/08/2011,31.84
11/09/2011,30.88
11/10/2011,31.33
11/11/2011,33.64
11/14/2011,33.22
11/15/2011,33.93
11/16/2011,34.94
11/17/2011,33.68
11/18/2011,32.6
11/21/2011,31.76
11/22/2011,32.07
11/23/2011,31.45
11/25/2011,31.66
11/28/2011,32.56
11/29/2011,31.75
11/30/2011,32.74
12/01/2011,32.6
12/02/2011,33.3
12/05/2011,34.42
12/06/2011,34.87
12/07/2011,34.19
12/08/2011,30.89
12/09/2011,31.04
12/12/2011,30.41
12/13/2011,29.45
12/14/2011,28.53
12/15/2011,28.62
12/16/2011,28
12/19/2011,27.75
12/20/2011,27.9
12/21/2011,27.57
12/22/2011,27.77
12/23/2011,27.9
12/27/2011,28.57
12/28/2011,28.51
12/29/2011,28.73
12/30/2011,28.56
01/03/2012,28.08
01/04/2012,27.71
01/05/2012,27.12
01/06/2012,26.91
01/09/2012,27.25
01/10/2012,27.62
01/11/2012,28.23
01/12/2012,28.25
01/13/2012,22.79
01/17/2012,26.6
01/18/2012,26.81
01/19/2012,26.76
01/20/2012,26.6
01/23/2012,26.77
01/24/2012,27.42
01/25/2012,27.97
01/26/2012,28.94
01/27/2012,29.33
01/30/2012,29.57
01/31/2012,29.07
02/01/2012,29.58
02/02/2012,30.25
02/03/2012,31.15
02/06/2012,31.8
02/07/2012,31.6
02/08/2012,31.93
02/09/2012,32.58
02/10/2012,31.1
02/13/2012,31.49
02/14/2012,33.17
02/15/2012,33.6
02/16/2012,34.18
