Date,AAPL,MSFT,GOOG,FB,AMZN,SNE,AMD,TWTR,IBM,MU
2018/11/21,176.78,103.11,1037.61,134.82,1516.73,50.52,18.73,31.61,118.57,36.38
2018/11/23,172.29,103.07,1023.88,131.73,1502.06,49.69,19.38,31.12,117.19,36.4
2018/11/26,174.62,106.47,1048.62,136.38,1581.33,51.02,20.08,32.82,119.56,36.57
2018/11/27,174.24,107.14,1044.41,135.0,1581.42,51.37,21.05,32.61,120.03,37.0
2018/11/28,180.94,111.12,1086.23,136.76,1677.75,52.91,21.34,32.73,123.0,38.71
2018/11/29,179.55,110.19,1088.3,138.68,1673.57,51.88,21.43,31.3,121.48,37.91
2018/11/30,178.58,110.89,1094.43,140.61,1690.17,52.82,21.3,31.45,124.27,38.56
2018/12/3,184.82,112.09,1106.43,141.09,1772.36,54.17,23.71,33.66,125.31,40.03
2018/12/4,176.69,108.52,1050.82,137.93,1668.4,51.51,21.12,32.56,121.6,36.88
2018/12/6,174.72,109.19,1068.73,139.63,1699.19,51.86,21.3,32.96,123.91,37.67
2018/12/7,168.49,104.82,1036.58,137.42,1629.13,51.13,19.46,32.83,119.34,35.31
2018/12/10,169.6,107.59,1039.55,141.85,1641.03,51.11,19.99,33.43,121.13,34.8
2018/12/11,168.63,108.59,1051.75,142.08,1643.24,51.15,19.98,34.45,120.89,35.21
2018/12/12,169.1,109.08,1063.68,144.5,1663.54,52.62,20.48,36.25,121.16,36.03
2018/12/13,170.95,109.45,1061.9,145.01,1658.38,52.2,19.86,35.89,120.73,35.02
2018/12/14,165.48,106.03,1042.1,144.06,1591.91,51.29,19.9,35.87,119.9,34.2
2018/12/17,163.94,102.89,1016.53,140.19,1520.91,50.5,18.83,33.43,116.1,33.88
2018/12/18,166.07,103.97,1028.71,143.66,1551.48,49.39,19.5,33.74,116.65,34.11
2018/12/19,160.89,103.69,1023.01,133.24,1495.08,48.76,18.16,32.93,116.43,31.41
2018/12/20,156.83,101.51,1009.41,133.4,1460.83,48.27,17.94,29.29,113.02,31.28
2018/12/21,150.73,98.23,979.54,124.95,1377.45,46.73,16.93,27.31,110.94,30.32
2018/12/24,146.83,94.13,976.22,124.06,1343.96,45.88,16.65,26.45,107.57,29.02
2018/12/26,157.17,100.56,1039.46,134.18,1470.9,47.62,17.9,28.66,111.39,30.89
2018/12/27,156.15,101.18,1043.88,134.52,1461.64,48.53,17.49,28.68,113.78,31.93
2018/12/28,156.23,100.39,1037.08,133.2,1478.02,48.14,17.82,28.43,113.03,31.57
2018/12/31,157.74,101.57,1035.61,131.09,1501.97,48.28,18.46,28.74,113.67,31.73
2019/1/2,157.92,101.12,1045.85,135.68,1539.13,48.72,18.83,28.81,115.21,32.75
2019/1/3,142.19,97.4,1016.06,131.74,1500.28,47.02,17.05,27.99,112.91,31.0
