date,AMZN,S&P 500
2014-12-31,310.35,2058.899902
2015-01-02,308.52,2058.199951
2015-01-05,302.19,2020.5799559999998
2015-01-06,295.29,2002.609985
2015-01-07,298.42,2025.9000239999998
2015-01-08,300.46,2062.139893
2015-01-09,296.93,2044.810059
2015-01-12,291.41,2028.2600100000002
2015-01-13,294.74,2023.030029
2015-01-14,293.27,2011.27002
2015-01-15,286.95,1992.6700440000002
2015-01-16,290.74,2019.4200440000002
2015-01-20,289.44,2022.550049
2015-01-21,297.25,2032.119995
2015-01-22,310.32,2063.149902
2015-01-23,312.39,2051.820068
2015-01-26,309.66,2057.090088
2015-01-27,306.75,2029.550049
2015-01-28,303.91,2002.160034
2015-01-29,311.78,2021.25
2015-01-30,354.53,1994.9899899999998
2015-02-02,364.47,2020.8499760000002
2015-02-03,363.55,2050.030029
2015-02-04,364.75,2041.5100100000002
2015-02-05,373.89,2062.52002
2015-02-06,374.28,2055.469971
2015-02-09,370.56,2046.7399899999998
2015-02-10,372.995,2068.590088
2015-02-11,375.14,2068.530029
2015-02-12,377.17,2088.47998
2015-02-13,381.83,2096.98999
2015-02-17,375.43,2100.340088
2015-02-18,373.37,2099.679932
2015-02-19,378.995,2097.449951
2015-02-20,383.66,2110.300049
2015-02-23,380.14,2109.659912
2015-02-24,378.59,2115.47998
2015-02-25,385.37,2113.860107
2015-02-26,384.8,2110.73999
2015-02-27,380.16,2104.5
2015-03-02,385.655,2117.389893
2015-03-03,384.61,2107.780029
2015-03-04,382.72,2098.530029
2015-03-05,387.83,2101.040039
2015-03-06,380.09,2071.26001
2015-03-09,378.56,2079.429932
2015-03-10,369.51,2044.160034
2015-03-11,366.37,2040.2399899999998
2015-03-12,374.24,2065.949951
2015-03-13,370.58,2053.399902
2015-03-16,373.35,2081.189941
2015-03-17,371.92,2074.280029
2015-03-18,375.135,2099.5
2015-03-19,373.24,2089.27002
2015-03-20,378.49,2108.100098
2015-03-23,375.11,2104.419922
2015-03-24,374.09,2091.5
2015-03-25,370.96,2061.050049
2015-03-26,367.35,2056.149902
2015-03-27,370.56,2061.02002
2015-03-30,374.59,2086.23999
2015-03-31,372.1,2067.889893
2015-04-01,370.255,2059.689941
2015-04-02,372.25,2066.959961
2015-04-06,377.04,2080.6201170000004
2015-04-07,374.41,2076.330078
2015-04-08,381.2,2081.899902
2015-04-09,383.54,2091.179932
2015-04-10,382.65,2102.060059
2015-04-13,382.36,2092.429932
2015-04-14,385.11,2095.840088
2015-04-15,383.45,2106.6298829999996
2015-04-16,386.04,2104.98999
2015-04-17,375.56,2081.179932
2015-04-20,389.51,2100.399902
2015-04-21,391.18,2097.290039
2015-04-22,389.8,2107.959961
2015-04-23,389.99,2112.929932
2015-04-24,445.1,2117.689941
2015-04-27,438.56,2108.919922
2015-04-28,429.31,2114.76001
2015-04-29,429.37,2106.850098
2015-04-30,421.78,2085.51001
2015-05-01,422.87,2108.290039
2015-05-04,423.04,2114.48999
2015-05-05,421.19,2089.459961
2015-05-06,419.1,2080.149902
2015-05-07,426.88,2088.0
2015-05-08,433.69,2116.100098
2015-05-11,432.85,2105.330078
2015-05-12,431.02,2099.1201170000004
2015-05-13,426.87,2098.47998
2015-05-14,432.28,2121.100098
2015-05-15,426.0,2122.72998
2015-05-18,425.24,2129.199951
2015-05-19,421.71,2127.830078
2015-05-20,423.86,2125.850098
2015-05-21,431.63,2130.820068
2015-05-22,427.63,2126.060059
2015-05-26,425.47,2104.199951
2015-05-27,431.42,2123.47998
2015-05-28,426.57,2120.790039
2015-05-29,429.23,2107.389893
2015-06-01,430.92,2111.72998
2015-06-02,430.99,2109.600098
2015-06-03,436.59,2114.070068
2015-06-04,430.78,2095.840088
2015-06-05,426.95,2092.830078
2015-06-08,423.5,2079.280029
2015-06-09,425.48,2080.149902
2015-06-10,430.77,2105.199951
2015-06-11,432.97,2108.860107
2015-06-12,429.92,2094.110107
2015-06-15,423.67,2084.429932
2015-06-16,427.26,2096.290039
2015-06-17,427.81,2100.439941
2015-06-18,439.39,2121.23999
2015-06-19,434.92,2109.98999
2015-06-22,436.29,2122.850098
2015-06-23,445.99,2124.199951
2015-06-24,440.84,2108.580078
2015-06-25,440.1,2102.310059
2015-06-26,438.1,2101.48999
2015-06-29,429.86,2057.639893
2015-06-30,434.09,2063.110107
2015-07-01,437.39,2077.419922
